s,0,-0.1,0.73,
j,1.11044,-0.485035,0.160412,2.02625,
j,1.11125,-0.484985,0.160318,2.02625,
j,1.11206,-0.484934,0.160223,2.02625,
j,1.11288,-0.484884,0.160129,2.02625,
j,1.11369,-0.484833,0.160034,2.02626,
j,1.1145,-0.484783,0.15994,2.02626,
j,1.1153,-0.484733,0.159845,2.02626,
j,1.11611,-0.484683,0.159751,2.02626,
j,1.11692,-0.484633,0.159656,2.02626,
j,1.11773,-0.484583,0.159561,2.02626,
j,1.11854,-0.484533,0.159467,2.02627,
j,1.11934,-0.484483,0.159372,2.02627,
j,1.12015,-0.484433,0.159277,2.02627,
j,1.12095,-0.484383,0.159183,2.02627,
j,1.12176,-0.484334,0.159088,2.02627,
j,1.12256,-0.484284,0.158993,2.02627,
j,1.12336,-0.484235,0.158898,2.02627,
j,1.12416,-0.484185,0.158804,2.02628,
j,1.12497,-0.484136,0.158709,2.02628,
j,1.12577,-0.484087,0.158614,2.02628,
j,1.12657,-0.484037,0.158519,2.02628,
j,1.12737,-0.483988,0.158424,2.02628,
j,1.12817,-0.483939,0.158329,2.02628,
j,1.12896,-0.48389,0.158234,2.02629,
j,1.12976,-0.483841,0.158139,2.02629,
j,1.13056,-0.483793,0.158045,2.02629,
j,1.13136,-0.483744,0.15795,2.02629,
j,1.13215,-0.483695,0.157855,2.02629,
j,1.13295,-0.483647,0.15776,2.02629,
j,1.13374,-0.483598,0.157664,2.02629,
j,1.13453,-0.48355,0.157569,2.0263,
j,1.13533,-0.483501,0.157474,2.0263,
j,1.13612,-0.483453,0.157379,2.0263,
j,1.13691,-0.483405,0.157284,2.0263,
j,1.1377,-0.483357,0.157189,2.0263,
j,1.13849,-0.483309,0.157094,2.0263,
j,1.13928,-0.483261,0.156999,2.0263,
j,1.14007,-0.483213,0.156903,2.02631,
j,1.14086,-0.483165,0.156808,2.02631,
j,1.14165,-0.483117,0.156713,2.02631,
j,1.14244,-0.48307,0.156618,2.02631,
j,1.14322,-0.483022,0.156522,2.02631,
j,1.14401,-0.482974,0.156427,2.02631,
