s,-0.1,-0.1,0.7,
j,1.10426,-0.406271,0.548647,1.82434,
j,1.10674,-0.404308,0.553545,1.82326,
j,1.10922,-0.402353,0.558026,1.82224,
j,1.11169,-0.40042,0.562124,1.82127,
j,1.11416,-0.398531,0.565763,1.82038,
j,1.11662,-0.396751,0.568483,1.81997,
j,1.11908,-0.39514,0.569976,1.82025,
j,1.1215,-0.393727,0.570213,1.82124,
j,1.12387,-0.392528,0.56934,1.82285,
j,1.12619,-0.391553,0.567525,1.82503,
j,1.12845,-0.39082,0.564773,1.82775,
j,1.13064,-0.390337,0.561162,1.83096,
j,1.13278,-0.390116,0.556717,1.83462,
j,1.13484,-0.39015,0.551646,1.8388,
j,1.13685,-0.390437,0.545975,1.84348,
j,1.13878,-0.390956,0.53991,1.8485,
j,1.14065,-0.391686,0.53354,1.85376,
j,1.14246,-0.392603,0.526976,1.85907,
j,1.14422,-0.393673,0.520411,1.86433,
j,1.14594,-0.394881,0.513834,1.86961,
j,1.14761,-0.3962,0.507266,1.87481,
j,1.14924,-0.397601,0.500769,1.87977,
j,1.15084,-0.399062,0.494387,1.88456,
j,1.15242,-0.400563,0.488147,1.8893,
j,1.15397,-0.402089,0.481937,1.89395,
j,1.15549,-0.403624,0.475771,1.89864,
j,1.15699,-0.405148,0.469728,1.90347,
j,1.15848,-0.406651,0.463742,1.90854,
j,1.15994,-0.408117,0.457816,1.91382,
j,1.16138,-0.409536,0.451919,1.91936,
j,1.1628,-0.410905,0.445983,1.92525,
j,1.1642,-0.412207,0.440071,1.93136,
j,1.16557,-0.413429,0.434284,1.93765,
j,1.16693,-0.414551,0.428747,1.94388,
j,1.16828,-0.415559,0.42355,1.94976,
j,1.16962,-0.416447,0.418717,1.95517,
j,1.17097,-0.417224,0.414137,1.96009,
j,1.17231,-0.417896,0.409791,1.96452,
j,1.17366,-0.418467,0.405729,1.9685,
j,1.17502,-0.418943,0.40196,1.97203,
j,1.17638,-0.419331,0.398493,1.9753,
j,1.17775,-0.41964,0.395312,1.97835,
j,1.17912,-0.419873,0.39239,1.98113,
j,1.18051,-0.42004,0.389701,1.98364,
j,1.1819,-0.420146,0.387223,1.98588,
j,1.1833,-0.420201,0.384939,1.98787,
j,1.1847,-0.420211,0.38283,1.98964,
j,1.18611,-0.420184,0.380882,1.9912,
