s,0.1,-0.2,0.7,
j,0.749212,-0.195052,0.219496,1.76666,
j,0.749393,-0.195048,0.219374,1.76666,
j,0.749573,-0.195043,0.219252,1.76666,
j,0.749753,-0.195039,0.21913,1.76667,
j,0.749932,-0.195035,0.219008,1.76667,
j,0.750112,-0.195031,0.218886,1.76667,
j,0.750292,-0.195027,0.218764,1.76667,
j,0.750471,-0.195023,0.218642,1.76668,
j,0.75065,-0.195019,0.21852,1.76668,
j,0.75083,-0.195015,0.218398,1.76668,
j,0.751009,-0.195011,0.218276,1.76668,
j,0.751188,-0.195006,0.218154,1.76669,
j,0.751367,-0.195002,0.218033,1.76669,
j,0.751545,-0.194997,0.217911,1.76669,
j,0.751724,-0.194992,0.21779,1.76669,
j,0.751902,-0.194987,0.217669,1.76669,
j,0.752081,-0.194982,0.217547,1.7667,
j,0.752259,-0.194976,0.217426,1.7667,
j,0.752437,-0.194971,0.217305,1.7667,
j,0.752615,-0.194965,0.217184,1.7667,
j,0.752793,-0.19496,0.217063,1.7667,
j,0.752971,-0.194954,0.216943,1.7667,
j,0.753149,-0.194948,0.216822,1.76671,
j,0.753327,-0.194943,0.216701,1.76671,
j,0.753504,-0.194937,0.216581,1.76671,
j,0.753681,-0.194931,0.21646,1.76671,
j,0.753859,-0.194925,0.21634,1.76671,
j,0.754036,-0.19492,0.21622,1.76671,
j,0.754213,-0.194914,0.2161,1.76671,
j,0.75439,-0.194908,0.215979,1.76672,
j,0.754567,-0.194903,0.215859,1.76672,
j,0.754744,-0.194897,0.215739,1.76672,
j,0.75492,-0.194891,0.215619,1.76672,
j,0.755097,-0.194886,0.2155,1.76672,
j,0.755273,-0.19488,0.21538,1.76672,
j,0.755449,-0.194875,0.21526,1.76673,
j,0.755625,-0.194869,0.215141,1.76673,
j,0.755801,-0.194864,0.215021,1.76673,
j,0.755977,-0.194859,0.214902,1.76673,
j,0.756153,-0.194853,0.214782,1.76673,
j,0.756329,-0.194848,0.214663,1.76673,
j,0.756504,-0.194843,0.214544,1.76673,
j,0.75668,-0.194837,0.214424,1.76674,
j,0.756855,-0.194832,0.214305,1.76674,
j,0.75703,-0.194827,0.214186,1.76674,
j,0.757206,-0.194822,0.214067,1.76674,
j,0.757381,-0.194816,0.213948,1.76674,
j,0.757556,-0.194811,0.21383,1.76674,
j,0.75773,-0.194806,0.213711,1.76675,
j,0.757905,-0.194801,0.213592,1.76675,
j,0.75808,-0.194795,0.213474,1.76675,
j,0.758254,-0.19479,0.213355,1.76675,
j,0.758428,-0.194785,0.213237,1.76675,
j,0.758603,-0.19478,0.213118,1.76675,
j,0.758777,-0.194775,0.213,1.76675,
j,0.758951,-0.194769,0.212882,1.76676,
j,0.759125,-0.194764,0.212763,1.76676,
j,0.759298,-0.194759,0.212645,1.76676,
j,0.759472,-0.194754,0.212527,1.76676,
j,0.759646,-0.194748,0.212409,1.76676,
j,0.759819,-0.194743,0.212292,1.76676,
j,0.759992,-0.194738,0.212174,1.76677,
j,0.760166,-0.194733,0.212056,1.76677,
j,0.760339,-0.194728,0.211938,1.76677,
j,0.760512,-0.194722,0.211821,1.76677,
j,0.760685,-0.194717,0.211703,1.76677,
j,0.760857,-0.194712,0.211586,1.76677,
j,0.76103,-0.194707,0.211469,1.76677,
j,0.761203,-0.194702,0.211351,1.76678,
j,0.761375,-0.194696,0.211234,1.76678,
j,0.761547,-0.194691,0.211117,1.76678,
j,0.76172,-0.194686,0.211,1.76678,
j,0.761892,-0.194681,0.210883,1.76678,
j,0.762064,-0.194676,0.210766,1.76678,
j,0.762236,-0.194671,0.210649,1.76678,
j,0.762407,-0.194666,0.210532,1.76679,
j,0.762579,-0.19466,0.210416,1.76679,
j,0.762751,-0.194655,0.210299,1.76679,
j,0.762922,-0.19465,0.210183,1.76679,
j,0.763094,-0.194645,0.210066,1.76679,
j,0.763265,-0.19464,0.20995,1.76679,
j,0.763436,-0.194635,0.209833,1.7668,
j,0.763607,-0.19463,0.209717,1.7668,
j,0.763778,-0.194625,0.209601,1.7668,
j,0.763949,-0.19462,0.209485,1.7668,
j,0.764119,-0.194615,0.209369,1.7668,
j,0.76429,-0.19461,0.209253,1.7668,
j,0.76446,-0.194605,0.209137,1.7668,
j,0.764631,-0.1946,0.209021,1.76681,
j,0.764801,-0.194595,0.208905,1.76681,
j,0.764971,-0.19459,0.20879,1.76681,
