s,0,0,0.7,
j,0.532146,-0.430143,-0.335133,1.40506,
j,0.530731,-0.431082,-0.337445,1.40968,
j,0.529295,-0.431922,-0.339739,1.4141,
j,0.527842,-0.43267,-0.341906,1.41835,
j,0.526377,-0.433314,-0.343894,1.42231,
j,0.524901,-0.433858,-0.345871,1.4259,
j,0.523411,-0.43431,-0.347844,1.4291,
j,0.521909,-0.434675,-0.349706,1.43196,
j,0.520396,-0.434954,-0.351416,1.43451,
j,0.518875,-0.435151,-0.352967,1.43678,
j,0.517348,-0.435269,-0.354364,1.43879,
j,0.515814,-0.435314,-0.355618,1.44057,
j,0.514274,-0.435292,-0.356743,1.44214,
j,0.512729,-0.435209,-0.357752,1.44352,
j,0.511178,-0.435073,-0.358658,1.44473,
j,0.509616,-0.434913,-0.359485,1.44601,
j,0.508045,-0.434742,-0.360244,1.44739,
j,0.50647,-0.434558,-0.360934,1.44875,
j,0.504885,-0.434382,-0.36157,1.45025,
j,0.503283,-0.434251,-0.36235,1.45207,
j,0.501661,-0.434194,-0.363286,1.4543,
j,0.500014,-0.434247,-0.364273,1.45724,
j,0.498351,-0.434406,-0.365422,1.46062,
j,0.496682,-0.434643,-0.36668,1.46407,
j,0.495006,-0.434957,-0.367917,1.46763,
j,0.493327,-0.435334,-0.369073,1.47125,
j,0.491646,-0.435767,-0.370128,1.47496,
j,0.489965,-0.436242,-0.371075,1.47872,
j,0.488289,-0.436732,-0.371904,1.48233,
j,0.48662,-0.437217,-0.372617,1.48571,
j,0.484943,-0.437725,-0.373255,1.48929,
j,0.483261,-0.438256,-0.373829,1.4931,
j,0.481583,-0.43878,-0.374328,1.49684,
j,0.479903,-0.4393,-0.374766,1.50062,
j,0.478216,-0.439831,-0.375162,1.50461,
j,0.476524,-0.440363,-0.375695,1.50862,
j,0.474828,-0.440882,-0.376354,1.51245,
j,0.473123,-0.441398,-0.377033,1.51625,
j,0.471413,-0.441905,-0.377678,1.52,
j,0.469697,-0.442405,-0.378275,1.52379,
j,0.467978,-0.442891,-0.378814,1.52757,
j,0.466254,-0.443365,-0.3793,1.5314,
j,0.464524,-0.443825,-0.379914,1.53517,
j,0.462789,-0.444262,-0.380649,1.53873,
j,0.461044,-0.444685,-0.381401,1.54224,
j,0.459286,-0.445113,-0.382136,1.54595,
j,0.457522,-0.445535,-0.382823,1.54972,
j,0.455759,-0.445931,-0.383437,1.55335,
j,0.453992,-0.446306,-0.383991,1.55696,
j,0.452223,-0.44666,-0.384486,1.56054,
j,0.450454,-0.446979,-0.384916,1.56393,
j,0.448682,-0.447272,-0.385299,1.5673,
j,0.446906,-0.447542,-0.38564,1.57064,
j,0.445131,-0.447776,-0.385932,1.5738,
j,0.443358,-0.447971,-0.386174,1.57673,
j,0.441585,-0.448122,-0.386368,1.57939,
j,0.439813,-0.44823,-0.386519,1.58181,
j,0.438041,-0.448296,-0.386631,1.58398,
